Elevation,Precipitation,Risk Level
159.44571373593263,101.07625373345907,medium
240.33138143691224,97.07474578826543,medium
158.86638680657984,15.971976267234371,low
20.66901779302549,162.38698783405863,high
262.17214978889643,0.0,low
479.27994690427624,0.0,low
61.29395542854282,88.53702340159573,medium
28.161223703984827,0.0,low
76.45713789084412,75.79461446115036,medium
299.9458012852035,126.0736416706099,low
486.66196936712885,53.475991236400716,low
273.935152393476,16.769526628119582,low
48.90979929789374,79.39102839085582,medium
220.78233442948908,203.58502979341327,medium
484.0693759208464,133.46046802822505,low
313.36278188338525,0.0,low
271.1063136525786,183.0900553143106,medium
376.3707113826839,71.05174962838338,low
250.70472768226432,82.32020214677488,low
288.51077593160426,46.94360576894881,low
281.10170556959065,127.72619447845715,low
115.17541347817034,160.53745026672001,high
315.86914056060033,191.25679696891456,medium
43.30546973274685,85.18734613641581,medium
378.7668051478415,32.87916236479931,low
499.48478669470694,121.67215755958969,low
126.01855653645372,84.60513415386794,low
421.9228802381411,143.38302508330776,medium
129.44777640109024,198.81356778604845,medium
234.15477189615646,0.0,low
469.3053593506237,115.39654384634927,low
476.07737805968054,169.4565432807861,medium
79.19780223893957,97.40270484021808,medium
375.9988391991073,0.0,low
264.06513201171873,138.62279230773458,low
460.74309789189823,0.0,low
406.4005177247961,153.10799609642737,medium
70.5933461619816,127.34679609751323,medium
184.67287922688698,67.43814036907199,low
453.4997145694425,0.0,low
223.98046855831012,27.521524589245985,low
452.82226195587975,185.64582356011005,medium
221.18427680000858,221.68145781304196,medium
181.6580699870093,0.0,low
390.2246264251638,173.05172845621635,medium
141.79675526539825,0.0,low
336.7765945831204,111.03189754486833,low
20.594147236936642,68.73968640859101,low
306.1265655968011,12.654691892103873,low
302.0824575335467,92.1517625271268,low
4.982786097973369,88.64455666075538,medium
283.8872543031351,95.56150359448637,low
23.19328353950506,115.32695106125632,medium
367.95598650251634,40.296505228849256,low
411.68323125486046,41.452677449999655,low
231.15133013352258,192.96946260242746,medium
148.69642654731229,38.420920230482125,low
480.96738500054585,0.0,low
437.595919105585,149.2874906292164,medium
124.4505812327334,166.14802474104133,high
19.453546558269863,144.95225870867048,high
165.3378207372485,45.459190183065026,low
20.061848969760764,170.94149644916178,high
300.65039263146144,78.96615463155493,low
362.4690269425701,76.09794545612924,low
11.847963772272152,110.47728785723315,medium
67.10607975473232,93.08350755599328,medium
198.79577644957197,66.57298006728918,low
32.075856966512774,326.35325112313626,high
221.8950064940871,14.731347968722819,low
234.22593459376995,136.15299569737553,medium
300.70876844187154,115.87339313711936,low
269.86821321571307,45.9934784044436,low
138.7493788388107,138.14557793604283,medium
494.8941300408282,171.39608695287137,medium
49.600903328246574,88.44133251921524,medium
106.18752965195766,95.1226989034563,medium
50.97350801010187,136.50167130552654,medium
43.23722019052856,163.61104612481344,high
189.63920402937916,221.91377919713017,medium
450.1527446964054,13.778982682822107,low
127.96583763413028,10.629474474386704,low
81.62818770604746,131.17670266066347,medium
5.071382447239092,78.30559347114897,medium
453.28861480374667,152.2393316085764,medium
298.94500404735334,0.0,low
365.43845061159357,19.6092401409015,low
142.88041359520886,232.06065508550483,medium
235.80095645334703,8.238740007753762,low
452.7448007575894,10.302758978381803,low
469.30692413273823,98.95534457432754,low
246.04091415443852,83.31140917610858,low
279.7589729538763,108.67873837152098,low
10.786571329652272,81.85028559410922,medium
470.2058913315257,55.97778061147123,low
274.9139441734621,79.14230231449697,low
130.42870481283825,7.458689245420622,low
115.38336372147117,65.34040671591654,low
183.70010987780648,123.06636019496386,medium
299.70647031418736,23.80151422062233,low
159.56117114708752,88.13308082425624,low
245.14091147423488,194.54016292073044,medium
128.14408879280475,101.57481290984315,medium
470.28117337501976,259.71528151658333,medium
202.647631917787,80.32355625794801,low
388.4895961783342,158.3842406051427,medium
193.59297381622687,146.5113463132462,medium
246.34064171174523,163.3105932059512,medium
42.59454438712046,167.73850190010234,high
317.06809718250565,174.90535447647682,medium
74.830216749396,68.51822436586743,low
119.7769369185348,53.04773003861247,low
384.5341180995679,63.98793913012827,low
102.56186593660854,0.0,low
291.8949458111068,140.7312015935195,medium
443.5375920307867,43.17319622526527,low
393.9490511146847,103.84823408365762,low
460.437281904441,166.74937425244127,medium
212.6093551833161,97.26325256788898,medium
188.9809287348736,136.90516138637253,medium
412.24184030158534,0.0,low
272.4533157230899,121.49615501530168,low
394.9152932032275,115.92454878814712,low
483.5244454683653,43.14927231613839,low
130.81250562645914,0.0,low
202.0310474358943,147.3826480206252,medium
472.10180011284695,84.09320295132268,low
78.46557857715285,85.85180950402332,medium
292.23452388094177,87.54745081437606,low
337.20020710808535,42.8400328021616,low
23.32933011032079,108.77689151595786,medium
248.8644690866173,203.81530286672003,medium
410.63755000260994,216.49672371730802,medium
470.9914052267238,35.46576128386575,low
380.97851803091413,36.25765205889412,low
404.724519550573,0.0,low
202.0665774575472,121.87400413076291,medium
230.2815968913594,93.50308959567275,low
188.3353872092608,48.19282277412803,low
24.099369160691218,129.69456790547312,medium
414.0902381827281,125.08518646149078,low
162.72486085523903,129.51047379622713,medium
340.8834661466746,79.57671738425265,low
491.71847264826215,57.24513615467434,low
133.27968045451456,76.05220436979008,low
217.97158645423153,180.06685896704153,medium
56.77788697836805,144.84796593385818,high
494.5611696407821,126.6785092939247,low
155.70090575682295,175.53180821727486,medium
40.338026676584924,177.77435055013294,high
449.42270486935735,170.62224464440655,medium
320.4583481807451,61.295320229954584,low
293.4558570086031,107.69208270376102,low
124.773252772358,128.2332456336593,medium
105.4874504090783,141.93394887334506,high
473.3695083982647,216.50085377591262,medium
342.780156670264,47.52281943130531,low
358.6608285656526,45.334699630132825,low
115.72653497081048,189.70545147196418,high
18.14427309553429,162.21680148296338,high
288.58156833531024,107.3531264587366,low
265.6746384491042,194.1656579570095,medium
253.15756057134388,59.1075710908277,low
400.45985311853406,0.0,low
453.5317105786616,148.51803553181594,medium
194.57176640360447,88.32737278048467,low
334.6515888070755,0.0,low
487.1781406627683,227.90827246361192,medium
102.92192572611386,173.37278385294223,high
363.448839934212,71.40219199335337,low
428.1481806821706,126.29752563860688,low
352.3651655302246,0.2058089113903705,low
443.7467931041477,42.34590686660934,low
92.21522567396507,149.37334568304036,high
364.1032380791268,129.77206263105379,low
224.92912477713517,123.50071477807631,medium
422.0393760550073,97.84422882477705,low
367.57175409187533,193.37795243845585,medium
199.09283943459965,116.5719245264531,medium
82.18148314157098,24.678856012103694,low
58.283268977407374,115.46237497774345,medium
240.61315120589828,175.7876332581665,medium
326.4049119925963,124.22650878491031,low
132.7379717668723,111.8212086035521,medium
222.1291433878545,218.2259042457303,medium
238.69063441408582,59.272173543830235,low
347.2340331144669,205.73777142896031,medium
110.08962365327008,95.40827147085616,medium
170.139251416972,0.0,low
420.40255419781624,0.0,low
491.9377671806831,59.73042200321431,low
294.76666180697595,77.27798334904504,low
309.4785347789741,36.7239067249581,low
369.35173056426265,22.188830827789552,low
413.30859360991116,166.72872378050195,medium
12.104083717021597,89.692079315697,medium
331.3268244793437,197.30861273847134,medium
127.3709267632268,165.24433042798313,medium
439.29534731161783,0.0,low
315.8352287871893,87.35028839050598,low
