Elevation,Precipitation,Risk Level
159.44571373593263,41.29257759023142,low
240.33138143691224,194.01744801062108,medium
158.86638680657984,105.07144647987815,medium
20.66901779302549,196.40306204504938,high
262.17214978889643,109.2551660250319,low
479.27994690427624,0.0,low
61.29395542854282,102.59330166497041,medium
28.161223703984827,0.0,low
76.45713789084412,113.72629862904763,medium
299.9458012852035,56.67772898930819,low
486.66196936712885,0.0,low
273.935152393476,162.86866828300717,medium
48.90979929789374,67.18483631749709,low
220.78233442948908,97.64989841953151,medium
484.0693759208464,86.51445653051144,low
313.36278188338525,147.7144475340671,medium
271.1063136525786,64.52506244558334,low
376.3707113826839,119.04228991368221,low
250.70472768226432,280.7362279778245,medium
288.51077593160426,132.28079275146598,low
